,asin,reviewerName,reviewText,overall,summary,post_neg,original_title,overview
0,B000GFDAUG,"Aaron L. Allen ""Orgazmo1009""",CA Lewsi' review should be removed. he's reviewing a episode from season 10. If your gonna write a review do it for the whole season not 1 episode thats not even on the season your reviewing it for.,5,Stupid,1,Avatar,In the 22nd century a paraplegic Marine is dispatched to the moon Pandora on a unique mission but becomes torn between following orders and protecting an alien civilization.
1,B000GFDAUG,Mind's Clay,"I truly love the humor of South Park. It's social/political commentary and satirical wit and bathroom absurdity rules. No holds barred! I live to breathe another day in anticipation of Trey Parker's next installment whether it be South Park or some other venture. South Park is truly the work of a genius. Thank you Sir Parker. (In Britian they often ""knight"" certian individuals (usually after they are ""old"" or ""dead"") for their contributions to their society) :)Sometimes it is dry. Sometimes it is wet. And sometimes it is too moist for humor. But somebody has to do it!I would like to see new South Park episodes until the day I leave this mortal existence. However I know that Sir Parker would want to ""move on"". However I would much like to see South Park from the eyes of a 90 year old Trey Parker. What wisdom would we see then?....",5,"""More Moist Than Should Be"" Humor",1,Pirates of the Caribbean: At World's End,Captain Barbossa long believed to be dead has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.
2,B000GIOPK2,"202_d ""202_d""",This is a cartoon series pitting eight cartoon stereotypes in a pseudo reality TV environment.I have watched all three seasons (only three are on DVD) and this one is the funniest overall. All three are worth a watch this one is best. The average price of this box set here on Amazon  makes it an affordable laugh.While it is possible to start watching with any season of this show I almost always recommend starting with season one; not too much sequential  story line.This is parody/satirical humor. This type of humor is not for everyone. The smarter you are the more jokes you will understand; some jokes are subtle.,4,"Overall, really like the series.",1,Spectre,A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.
3,B000GIOPK2,"Alexandra Stephens ""dreamgirl0922""",Yeah drawn together is great when it comes to the crude humor. The first season was hilarious but sometimes i found the second season lacking. But it still was a great season. A definite buy is you're a fan of crude humor and hilarious cartoons.,4,Crude cartoon humor...Check,1,The Dark Knight Rises,Following the death of District Attorney Harvey Dent Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later Batman encounters the mysterious Selina Kyle and the villainous Bane a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.
4,B000GIOPK2,Andre Villemaire,So this show is absurd and completely sucks. I hated way director changed the entire storyline.,2,not bad...,0,John Carter,John Carter is a war-weary former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.
5,B000GIOPK2,A. Pierre,I dont agree with the reviewer who says the show wears thin after awhile. Ive watched each show about 3-5 times a piece and I cant get enough of the show its a very funny and probably one of the best cartoons on tv today. I dont know how ratings are doing for the show but if they release them via dvd i'll keep on buying them. Xandir and Tim Sitting in a Tree is my favorite of the season but all the shows are funny. The more you watch the more you pick up the little stuff you might have missed. Highly recommend this show to anyone who enjoys adult cartoons its much better then South Park.,5,Excellent,1,Spider-Man 3,The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism his alter ego Peter Parker deals with nemesis Eddie Brock and also gets caught up in a love triangle.
6,B000GIOPK2,B. E Jackson,Apparently I'm one of the few who really thinks Drawn Together is a fantastic animated show.  The animation is really good overall second only to the Simpsons.  Very bright colorful animation that makes everything look very nice.  A wide variety of creative characters each with their own special personality and goofy problems.  Solid storytelling that makes the characters more interesting and a very wild adult sense of humor that has *so* much creativity you can barely keep up with the constant jumping around.  Imagine a more violent Simpsons or Futurama with the pacing in hyper mode.  That's basically what Drawn Together is all about.,5,drawn together nicely,1,Tangled,When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower he's taken hostage by Rapunzel a beautiful and feisty tower-bound teen with 70 feet of magical golden hair. Flynn's curious captor who's looking for her ticket out of the tower where she's been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade complete with a super-cop horse an over-protective chameleon and a gruff gang of pub thugs.
7,B000GIOPK2,"Ben Lawrence ""Ben Lawrence""",I liked this product. I am a big fan of Drawn together and this is the best season so far. The extra features are cool and I can't wait until the next season comes out.,4,Drawn Together,1,Avengers: Age of Ultron,When Tony Stark tries to jumpstart a dormant peacekeeping program things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges it is up to The Avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.
8,B000GIOPK2,Big Dog,the show. it is really funny. it is a good show to get on Dvd. I like the show a lot.,5,it was cool,1,Harry Potter and the Half-Blood Prince,As Harry begins his sixth year at Hogwarts he discovers an old book marked as 'Property of the Half-Blood Prince' and begins to learn more about Lord Voldemort's dark past.
9,B000GIOPK2,Brandon Nolta,People who like cartoons must be thankful for DVDs because that technology opened up the floodgates for fans for every kind of animation. Whether you like classic Looney Tunes hippy-dippy sci-fi parables or Asian tentacle porn it's all there for you to find and enjoy. It's only been in the last 20 years or so however that American TV networks have clued into the idea that many adults like cartoons that have content specifically aimed at adults even though some cartoons did well in prime-time even fifty years ago or so. Now with DVD you can not only watch entire seasons at a shot you can also see the shows in their unadulterated glory.Which brings us to the Comedy Central series Drawn Together. I've been a fan of this show for a while partly because of the writing and partly because of the cheerful way in which it steamrolls political correctness and good taste. If South Park is the Mount Everest of crude crass animation then Drawn Together is K2; it doesn't stand as tall but it's a tougher climb. The truth of this was brought home upon watching the second season of the show on DVD. Much to my surprise watching the DVD turned out to be a different experience than watching it in first run.Part of this is due to one of the DVD set's selling points: it's unexpurgated. I didn't think this would make much of a difference as it's generally pretty clear what's been cut. As it turns out there was a lot cut out of the show and not just language: genitalia violence enough racist abuse to make the KKK turn red under their sheets sex in a vast array of configurations and a whole lot of other content that probably produces instant pucker in the unfortunate souls who work in Comedy Central's Standards and Practices department. Now I'm not one for censorship but the additional material works against the show to a certain degree. What's there is still funny in multiple senses from satire to slapstick but actually being able to hit the money words (and shots) dilutes the humor a bit.As far as taste goes DT is not a show to start novices on. If adult animation is still a new concept for you and you think The Simpsons is bleeding-edge in the sometimes fluid space between being socially acceptable and being a pariah then DT may cause seizures. For people who like edgy animation this will be just the ticket. The voiceover artists and writers take their material seriously and they're willing to go wherever the jokes take them (the season finale has a running gag with historical dates and the episodes connected to them that manages to be both subtle and sick).In terms of presentation the DT set is relatively bare-bones. The whole season of 15 episodes is crammed onto two discs leaving just enough room for a handful of interviews with the voiceover artists (minus Adam Carolla who has plenty to do outside the show) and a karaoke singalong. The visual quality is pretty sharp and the sound quality is good but this isn't the kind of material you use to do any THX certifications with so it's not like you'd expect much. Still it's the episodes that matter and for you sick little monkeys out there who like this kind of thing Drawn Together season 2 is a worthwhile expenditure. Just don't leave it out where Grandma or the kids might get a hold of it. Either you'll scar them for life (maybe shuffling Granny into an early grave) or you'll never get it back.,5,"Funny, vulgar and sick: three of my favorite things...",1,Batman v Superman: Dawn of Justice,Fearing the actions of a god-like Super Hero left unchecked Gotham City’s own formidable forceful vigilante takes on Metropolis’s most revered modern-day savior while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another a new threat quickly arises putting mankind in greater danger than it’s ever known before.
